正字	異体字	附録字
㹾	􄜤	
㹿		
㺀		
㺁	𤝾𤠏𧳀𧳦𧳺𧴙􄜩󱁀􄜪	
㺂		
㺄	􅥓	
㺇	𤠒󿊪􄜶􄜵	
㺈	􄜱􄜲	
㺉	𣪨𤠼󻑗	
㺊	𤡀	
㺋		
㺌	󿊰	
㺐	𤜶	
㺑	𤡙𤡅𤢖	
㺒	𤠖􄜺􄜹	
㺓		
㺔	󺌤	
㺕	𤝏	
㺖	𤡘	
㺗	􄜿	
㺘	􄝀	
㺛	𤟨	
㺜	𤡤𤣜􄝂􄝃􄝄􄝅	
㺝	􄝇	
㺞		
㺟	􄝈	
㺠	􄝊	
㺡	𤡫𤢴𧴠􅣉	
㺣	𧲘􄝋	
㺤	𤢷	
㺥	􄝌	
㺦	𤡨𤣆𤣈	
㺧	𤣠𤣣	
㺨	𤣵	
㺩	玌㺫	
㺭		
㺱		
㺴		
㺸		󰜡
㺹	玣	
㺿	珆󺾀	
㻂	󺾎􄝓	
㻃	󵋛	
㻈		
㻉	󹿆	
㻌		
㻍	珸􄝚􄝙	
㻑		
㻒		
㻓		
㻔		
㻕		
㻖		
㻝	㻋瓎􄝠􄝡	
㻞		
㻟		
㻠	󿔲	
㻡		
㻯		
㻱		
㻲	􄝫	
㻵		
㻶		
㻷	𤤹㻋󻂁	
㻸	􄝯	
㻹	􄝱	
㻽	󰝁	
㻾	𤫔󲐽	
㻿		
㼉	𤫯􄞋󰦡	
㼊	𤫪𤫭	
㼋		
㼌		
㼍		
㼎	瓝	
㼏	𰢟	
㼐		
㼑		
㼒	􄞍􄞌	
㼓	𤬚􄞑􄞐	
㼔	𤬒􄞒󼺄	
㼕		
㼖	瓥𤬤􄞘􄞗􁪞	
㼗		
㼘		
㼞		
㼟		
㼠		
㼡		
㼢	𤭘􄞠􄞡	
㼣	㼟	
㼤	􄞟	
㼥		
㼦	𦈩􄞞􄞝	
㼧	𤭁	
㼨	𤭙	
㼩		
㼪		
㼫	𠿜	
㼬		
㼭		
㼮		䃀
㼯		
㼰		
㼱	𠬫𠭠𠭼𡕶𡰺𤕱𤭀𥧐𥨏𩏈􅣌􅣍􅣎􅣏󿖄􅣊􅣐􅣋󾯚󾯜	
㼲	𤭃	
㼳		
㼴		
㼵	𤭌𦉁	
㼶	󺶝	
㼷		
㼸	𤮇	
㼹	󻗺􄞭􄞰􄞮􄞯􄞱	
㼺	􄞬	
㼻		
㼽	𤭪󻘒􄞵	
㼾		
㼿		
㽀		
㽂		
㽃	􄞺	
㽄	𤭣𤭦𤮓	
㽆		
㽇		
㽈		
㽉	𦉞􄞽	
㽊	􄟁	
㽋		
㽌	𤮷	
㽎		
㽑		
㽕	𣓐𣔴㕀󺙂	
㽘	奋𤰢	
㽚		
㽛		
㽝		
㽟		
㽠	𱰱𤲍󰩬	
㽡		
㽢	䅖䎨	
㽤		
㽥		
㽦		
㽧	􄟙󰳎􄟚󵡆	
㽨	𤳶􄟘	
㽩	𤳒	
㽪	􄟞	
㽫		
㽬		
㽰		
㽱	㽲𤴪疓𤴮𤶀􄟫􄟪	
㽳	疞	
㽴		
㽷		
㽹		
㽺		
㽾	𤴰	
㽿	𢈅	
㾀		
㾁	𤴷	
㾂		
㾃	𤵚𤵩	
㾅	𤴹󼻦	
㾇		
㾈	痡	
㾉		
㾊	𤶬瘷	
㾋		
㾍		
㾎		
㾏		
㾑		
㾒		
㾓	󼼉	
㾔	󲰸	
㾕	瘮𤺑	
㾖		
㾘		
㾙		
㾚	𤺎	
㾛	𩒸	
㾜	𤷾󰋔	
㾝		
㾞	􄟴	
㾟	󼼳	
㾠		
㾢		
㾣		
㾤	啌	
㾥		
㾦		
㾧		
㾨	𭼝𥏜	
㾩		
㾪	𤵙𩩭	
㾫	𤺇	
㾭	𤵰𤶍𤷨癄	
㾯		
㾰	𤵡	
㾷	𤺊􀵂󼾆􄠍󼾴	
㾸	􄠇	
㾹	𤸍􄠉	
㾺		
㾻		
㾼		
㾾		
㾿		
㿁	𤺃𤻁𦟞󼾳	
㿃	䐭󼿋	
㿄	𤻢	
㿆		
㿇	􄠐􄠏	
㿉	𤸉㾯𤼊󽀕􅦓󽀟	
㿊		
㿌	㾾	
㿎		
㿑	􄠝	
㿒	𤹷𤺜	
㿓		
㿕	􄠡􄠢	
㿖	󿳚􃨇	
㿘	􄠤	
㿙	𤖤𤼟𤼤󽀦􄠨􄠧	󽀬
㿚	𣩿	
㿛	𤻤癧􄠩	
㿟		
㿣	􄠮	
㿤		
㿥	𤽼皬󼹤	
㿦		
㿧	嚋𤽯𤾊𤾦	
㿩	𤾉􄠸􄠷	
㿪		
㿫		
㿬		
㿭	󻳜	
㿮		
㿯		
㿰		
㿱	𢯳𢱺𢼺	
㿳	􄠽	
㿴	䐛􄠾	
㿷	𥀞󽊽􄡀	
㿸	𥀗𥀤	
㿹	𤿹𥀀􄡆	
㿺	𤿈𦢊󽋚	
㿻		
㿽		
㿾	𥃓𧈚󴢥􄡍	
㿿	𥁱􄡒	
䀀	𥁔盕𥁩𥁷􄡑􄡎􄡏􄡐	
䀁	𥁓	
䀂		
䀃		
䀄	𥁚𥁶􄡔􄡓	
䀅	􄡕	
䀇	𥂩	
䀈	䀈􄡘􄡙	
䀉		
䀊	𣟇𥂔𥃃􄡤􄡦􄡧􄡥	
䀍		
䀐		
䀒		
䀓		
䀔		
䀕		
䀖		
䀗	􄡮	
䀘	䀘𥅳𥅝󼤛	
䀙	􄡱	
䀚		
䀛	䀜	
䀟		
䀠	眗𮊂𥇛	
䀡	􅥠	
䀢		
䀣		
䀤		
䀧		
䀨	𥆠	
䀩		
䀫		
䀬	􄡼	
䀭		
䀮	𥇀𥆈𥆆𥆨𥇫𥆰𥉂􄡸󰥓󼥋󼥶󼦬󰥤	
䀯		
䀰		
䀱	盽	
䀲	􄢂	
䀴		
䀵	􄢁	
䀶	㾗䁁𥇉𥈘	
䀷		
䀸	晢䀿𥇕	
䀺	𠌪	
䀻		
䀼	􄡽	
䀽	𢌨𢌫𥆊𨕐󰥏	
䀾		
䀿		
䁂	󼥎􄢋	
䁃	𥌜	
䁄		
䁅	𥋝	
䁆	䁆	
䁇		
䁈	𢾥䁉	
䁊	𥇄􄢒􄢑􄢐􄢏	
䁋	󰥜	
䁌		
䁍		
䁎	􄢍	
䁏		
䁐		
䁒	𥊬􄢓	
䁓	𥅢	
䁔	睻	
䁕		
䁗		
䁘	󷙄􄢟	
䁙	𥅥𥈔𥍂	
䁚	󼧐	
䁛	𥍁𧢦􄢠	
䁜		
䁝	覮	
䁟		
䁠		
䁢		
䁣		
䁤		
䁥	眤􄢧	
䁧	􄢨	
䁨	􄢣	
䁩	𥆐䏸䐳	
䁫	􄢲	
䁬	􄢯	
䁭		
䁮	𥋋	
䁯		
䁰	𥊾	
䁱	瞘􄢳	
䁲	𥋻𥌚䚑	
䁳	􄢤􄢥	
䁴	𥊳󵕟􄢷􄢸	
䁵	𥌡􄢼􄢽􄢾	
䁶		
䁷		
䁸	􄢺􄢻	
䁺	𥋭	
䁻	𥍐	
䁼	􄣉	
䁽	􄣍􄣏􄣎	
䁾	𥋚𧂝􄣊􄣋	
䁿	𥊷󰥥􄣒	
䂀	𥋟󷁪	
䂁	󼩦􄣕	
䂂		
䂃		
䂅		
䂆	𥍠𥍰􄣗	
䂇		
䂈		
䂉	𥍶􄣙󽌎	
䂊		
䂍	𢑾	
䂎	𥎞𥎤𥎥􄣟􄣞	
䂏		
䂐	𥏞	
䂑		
䂒		
䂔	𥏔𥏢󰦃	
䂕	􄣣	
䂗		
䂘	𥐟	
䂚		
䂛		
䂜		
䂟	𥑆	
䂠		
䂢		
䂣		
䂤		
䂦	䂧𥒨	
䂩		
䂫		
䂬	𥒽􄣰	
䂭		
䂮	㗉󳢑󵉨	
䂰		
䂱	󼟄	
䂳	󵈀	
䂴		
䂶		
䂷		
䂸	󰤾	
䂹	𥓭𨹾􄣴􄣲􄣳	
䂺	𥑉	
䂻		
䂼	󼟫	
䂽	䂪	
䂾		
䂿		
䃀		
䃁		
䃂		
䃇		
䃈	􄣼	
䃊		
䃋	𥑷𥒏𥔢	
䃌		
䃎	􄣽	
䃏		
䃑	斑	
䃒	􄤈􄤇	
䃓	􄤆	
䃔	􄤅	
䃕		
䃗	𥓑􄤊	
䃙	󼠱	
䃚	􄤍	
䃛		
䃝	􄤓	
䃞	􄤕	
䃠		
䃡	𰧢󼡦	
䃤	􄤖	
䃥		
䃦	􄤜	
䃧	𱴶􄤝	
䃪	󼡒	
䃫	𥖷󿘪	
䃭		
䃮		
䃰		
䃳	􄤩􄤧􄤨􄤪	
䃴		
䃵	𥗗	
䃶		
䃷	􄤫􄤬	
䃸	䃱	
䃹	𥗺􄤮	
䃽	􄤱	
䃾	􄤲	
䃿	􄤰	
䄁	􄤶󼑐	
䄄	􄤻	
䄅		
䄆	𥙱􄤽􄤾	
䄇	􄥄	
䄈	􄥂	
䄉	􄥊	
䄋	􄥑	
䄌	􃱱	
䄍	􄥐	
䄎	𰨌󺳝	
䄐	𥛁	
䄑	􄥔	
䄓	􄥙	
䄔	􄥚	
䄘	􄥜	
䄙	􄥞􄥝	
䄚	𥛼󰤬󰤭􄥦􄥧􄥨	
䄛	󹠂􄥩􄥪	
䄜	􄥣	
䄝	𬓉􄥥	
䄟	㯔	
䄡	󸡓	
䄤	襰􄥹􄥺󼕘	
䄥	𥜧􄦂􄦃	
䄦		
䄧		
䄨	􄦉	
䄪	𥞗󱀎	
䄮		
䄰		
䄱		
䄲	􄦊	
䄶	𥞳	
䄷		
䄸		
䄻	􄦑	
䄼	䄽	
䄾		
䄿	𥹞􄦏􄦐	
䅀	𠞜𥟸𥟜𥣭󷳙󼵱󼵰􄦎	
䅁		
䅂		
䅃	𥞱𥞣􄦓	
䅄	𥞮	
䅆	𥝭􄦍	
䅊		
䅋		
䅌	𧆇𪌭󹖄􄦘􄦗	
䅍	𥟐􄦜	
䅎		
䅑	䅗	
䅓		
䅔	􄦢	
䅕		
䅖		
䅘	麳𪎂􄦟􄦡􄦠	
䅙		
䅚		
䅛		
䅜	𮃙	
䅝		
䅞		
䅡		
䅢	粙䊘	
䅣	䊗	
䅤	􄦦􄦨􄦧	
䅥	𥠹𥢸󵉁	
䅦		
䅧		
䅩	󱀧	
䅬		
䅭	𥻭	
䅮		
䅯		
䅰		
䅳	𥟷􄦱􄦰󵉂	
䅴		
䅵		
䅷		
䅸	􄦻	
䅺	𥢕	
䅻		
䅼	􄦹	
䅾	􄧀	
䅿		
䆀	󼶞	
䆁	􄧄	
䆃		
䆄	􄧃	
䆅		
䆉	𥝧	
䆊	􄧏	
䆍	𪚗󼣹	
䆎	󼷧	
䆏	𥤑􄧒	
䆑		
䆓		
䆔		
䆕	𥥞䆢䏐䦑􄧜	
䆖	𥥈	
䆗	𥥎𥦖	
䆘		
䆙		
䆚		
䆛		
䆜		
䆝		
䆞	𥦒	
䆟	㝓	
䆡		
䆢	􄧢	
䆣	󽃝􄧣	
䆦		
䆧		
䆨	𥦏􄧦	
䆪		
䆬	󽄱	
䆭		
䆯	𡢷𡢑𩈽𩈾􄇍	
䆰		
䆱		
䆲	槺	
䆵	􄧱󽅼	
䆶		
䆷	䆕䆝	
䆸	􄧳􄧲	
䆹		
䆺		
䆼	􁂍	
䆽	𥧻􄧴􄧵	
䆾	􄧷􄧸	
䆿		
䇀	𥨳	
䇁	𥩑𥩎􄧹	
䇂	𠍴愆𨐋󷍒	
䇅	𥩦𥩱	
䇈	󰸦	
䇋		
䇌		
䇍	竐	
䇎	𥪶􄧽	
䇏	𥫉􄧼	
䇐		
䇑	𥪎	
䇒	􄨁􄨂	
䇓	𥪃𥪙𥪥䇕𩓣􄨈	
䇔	􄨌􄨋	
䇖		
䇗		
䇘	𥫻󰧟	
䇙		
䇛		
䇜		
䇝		
䇞		
䇠		
䇡		
䇢		
䇣		
䇤		
䇦		
䇧		
䇨		
䇩	􄨕	
䇪		
䇫	𥭱􄨔􄨓	
䇬		
䇭		
䇮		
䇯		
䇰		
䇶		
䇷	􄨙	
䇸		
䇹		
䇻		
䇼		
䇽		
䇾		
䈀		
䈁		
䈂	䈂	
䈃		
䈅		
䈆	簤	
䈈		
䈉		
䈊		
䈋		
䈌		
䈍		
䈎	𫟒󽚟	
䈏		
䈐	􄨤	
䈑		
䈒		
䈓	􄨥󽛰	
䈕		
䈖		
䈗		
䈘	𥴺󿚮	
䈙		
䈛		
䈜	𣖯	
䈝		
䈞		
䈟		
䈠		
䈡	󰧹	
䈢	𥯲	
䈣		
䈦	􄨦	
䈧	䈧	
䈪	𥮬􄨮􄨯􄨭	
䈫	􄨽	
䈬	箁	
䈭	􄨵	
䈮		
䈯	󽛷􄨷􄨶	
䈱	𠚜𥮛􄨼􄨻􄨺	
䈲	􄨾	
䈳	㯓	
䈴	󰨀	
䈵		
䈶		
䈷		
䈸		
䈹		
䈺		
䈻		
䈼		
䈽	𥭤􄩌	
䈿	􄩀􄩁􄨿	
䉀		
䉁	䉹	
䉂	𥳮	
䉃	􄩔􄩓	
䉄	󰧳	
䉅	𥱩	
䉆	􄩕	
䉈	𥷭	
䉉		
䉊	􄩠	
䉋	𥶫􄩡	
䉌	𥴦𥶼	
䉍		
䉎		
䉏	􄩰	
䉐		
䉑		
䉓		
䉔	𥴷􄩝	
䉕	􄩚	
䉖		
䉗		
䉚		
䉛		
䉜	𥴢	
䉝		
䉞	𢶦𥴶	
䉟		
䉠	𥰙󽝑󽝒	
䉡	􄩣	
䉢		
䉣	􄩲􄩱	
䉥	𥳺𥵅􄩺󶙧	
䉦	􄪄	
䉧	𥳩𥷢􄪌	
䉩	䉱󽝢	
䉪		
䉬	𥳊蕟䕠􄪁􄪂	
䉭	𥶢􄪍􄪎􄪏	
䉮		
䉯	􄪃	
䉰	𥰹	
䉲	𥮜籋𥵸𥵨𥸀􄪙󽝐	
䉳	𥬍	
䉴		
䉶	𫁷􄪡	
䉷	𥸇	
䉸	􄪨	
䉺	粠	
䉻	𥸳	
䉿	䊀	
䊂		
䊃	𥹸	
䊄	󽦢	
䊅		
䊆	􄪯	
䊈	􄪱	
䊍	𥣥	
䊎	𥹳𥻖𥽊	
䊓		
䊔	􄪵	
䊕		
䊖		
䊙	􄪶	
䊝		
䊞	籷	
䊟	􄪾󰪝􄪽	
䊣	􄫂	
䊤	𥾁	
䊥	􄫁	
䊦		
䊧		
䊨	󵋤󵆶	
䊩	􄫃	
䊫	𥼺	
䊬		
䊭		
䊮	􄧊􄫍	
䊰		
䊱	􄫐	
䊲	𥽽𪉺􅣖	
䊳		
䊴		
䊵		
䊺	𥾙󰴁	
䊻		
䊼		
䊽	􄫓	
䊾		
䋀	𡱏𥾩	
䋂	𥾥𥾤	
䋃		
䋈		
䋉		
䋊		
䋌	䋗	
䋏		
䋐		
䋑		
䋔	紴	
䋖		
䋙	𦗕	
䋛	𥽲𪓋􄫚	
䋟	󰫛􄫛􄫜	
䋢	𦆰	
䋤	𦆗􄫟	
䋥		
䋦	󽮡	
䋨	䌗	
䋩	􄫣	
䋪	䋍	
䋫	󽭽󽮮	
䋬	𦁔󽮆􄫡	
䋭	󺴰	
䋰	𦀤𦀥𦦆􄫤	
䋱	𱹴	
䋴		
䋵	㡫􄫦󺼠󻢳􄫧􄫨	
䋶	綇𦅨𦅓𦄼􄫥	
䋷	𦃤	
䋸	𦅑䙉	
䋻		
䋼	𦀚𦁍􄫫	
䋽	𥀂𦂌𧛜	
䋾	𦅁	
䋿		
䌀		
䌂		
䌅		
䌆	􄫱	
䌈		
䌋		
䌍		
䌎		
䌏	𦆥󰫩􄫵􄫶	
䌐		
䌑	䋗􄫸	
䌒		
䌔		
䌖		
䌗		
䌘		
䌙		
䌚		
䌜		
䌝		
䌞		
䌟		
䌡		
䌢		
䌣		
䌤	𦆤􄬅􄬄􄬆	
䌥	𦅂	
䌦	􄬇	
䌨	縩𦷞􄬌􄬋	
䌩	𦇪􄬊	
䌪	𦇾	
䌬		
䌮		
䌯	䙮􄬕	
䌰		
䌴	䌱䌴𦇽􄬖􄬗	􄬘
䌵	𦅉𦆂􄬙	
䍃	􄬝󵊠󰋝􄬞	
䍄	󳟓	
䍆	𤱤𤲑󵡉󴣟	
䍇	𦈮󱔴	
䍉		
䍊	󲋨	
䍍	㲄𦈴􄬤󼃼󼄊󱆃	
䍎	𦉙􄬱􄬰􄬮􄬯	
䍓	􄬷	
䍔	𦊫􄬸󻧾	
䍕	󿚍󰳦	
䍗	􅦀󻧶	
䍘	𥹐𦊮𥹄󵿳	
䍚		
䍛		
䍜	𦋜羄􁍜􁍝	
䍝	𮊇	
䍡	𦌏𦌟󻩎􄭂	
䍣		
䍤	􄭈	
䍥	􄭉	
䍦	󻩯	
䍨	𦍜􄭎	
䍪		
䍫	𦍔𦍥	
䍬		
䍮	𦎉	
䍱	𦍗	
䍲		
䍳		
䍴		
䍵		󽤶
䍶	𤟈	
䍷		
䍸	𤝔􄭖􄭗	
䍺	𦏖􄭜􄭛	
䍻		
䍼	𦏋􄭝	
䍽	𦏈𦏩􄭟󽥬	
䍾	􄭠	
䍿	􄭣	
䎀		
䎁		
䎂	𦐙	
䎃	𦐃𦐎𦐘	
䎄	𰚕𣬸䳂	
䎆	􄭩	
䎇		
䎉	􄭪	
䎊	𦐦	
䎋		
䎌		
䎎	􄭬	
䎏	􄭭	
䎐	􄭱	
䎑	􄭯􄭰	
䎒	􄭮	
䎔	𦐷䎍𦒊􄭸􄭶􄭷􄭹	
䎕	𦐥𦐳𦑟𦒃	
䎖	􄭾󰫅	
䎗	𦑽𦒓	
䎘	􄭿	
䎙	󰫆	
䎜	󻃺	
䎟		
䎠	𦓏	
䎡	𨅲	
䎢	𦓪	
䎤	𦔁	
䎦		
䎧	𢮏稖𦔑	
䎨	􄮏	
䎩	𤰭𦿨􄮒󳍽	
䎪		
䎭		
䎮	𦔝	
䎯	􄮔	
䎰		
䎲		
䎳		
䎴		
䎵		
䎶		
䎷		
䎸		
䎺	𦕶	
䎻		
䎼	𦗓􄮛	
䎽		
䎿	𦖣􄮝	
䏁		
䏂	𦖪􄮞󽎸	
䏃		
䏄		
䏅	􄮧􄮨􄮩	
䏆	𦗠	
䏇	𦗩	
䏉		
䏌		
䏎	􄮰󵆍	
䏏		
䏐	𦚀􄮱	
䏒		
䏓		
䏖	𦙢	
䏘	𦙬	
䏙	䶻𰮐	
䏚		
䏜	􀑙	
䏞	𦚜	
䏟		
䏠	𦚎	
䏡	󰧑	
䏢		
䏣	𦚭	
䏥	𦙇􅣗	
䏦	􅦈	
䏧		
䏪		
䏬		
䏰	􄮿	
䏱		
䏲	􅥢	
䏳	𦜋𦠀𦠟𦠠𦠔	
䏴	𦡱	
䏶		
䏷		
䏹		
䏺	胖𦜁䏾膖𦡊	
䏽	𦜟󰧘	
䏾		
䏿	𦜹𦜑󽘬	
䐀	󻼜	
䐁	𡰪𡱰㞘𢁁豚􅤕	
䐂	􄯉	
䐃		
䐄	𤎡𦜿􄯊􄯋	
䐅		
䐈	􄯈	
䐉		
䐊		
䐋		
䐎		
䐏		
䐐	𦝱􄯖	
䐑	𠝝𦜈𦜪𦜫𦣀􄯏􄯎	
䐒		
䐓		
䐔		
䐕		
䐘		
䐙		
䐚	􄮾􄮽	
䐛		
䐜	󵣔􄯣	
䐝	󰣙	
䐞		
䐟		
䐠		
䐢	𦚲𦛴𦜻䐍󻺗󻻚󻽒	
䐣	𦠆󻼪	
䐤		
䐥		
䐦		
䐧	􀭂	
䐨	󹵢	
䐩		
䐫		
䐬		
䐮	􄯥	
䐯		
䐱	膪	
䐲	􄯫􄯪	
䐴	䏗𦟡􄯙􄯚􄯛	
䐵	𦡽𪏍	
䐶	𦠛	
䐷	􄯰	
䐸		
䐹	𦢩􄯯	
䐺	󻾵	
䐻		
䐼	𦝜􄯱	
䐾	𰯞𦡇􄯺	
䐿	󿻴	
䑀		
䑁		
䑂	𦚪	
䑃	䏵􄰀	
䑄	󰣠􄰄	
䑆		
䑇		
䑈		
䑉	􄰉󼀔􄰈	
䑊		
䑋	󻿹	
䑌	􄰌	
䑍		
䑎	𦢙󻿉󻿊	
䑏	􄰏	
䑔	𤽌𦥡𦥥􄰟􄰠	
䑗	􄰩	
䑘	暛􄰫	
䑙	舚	
䑜	𤝓𤠟𦧢𦧤𦧱􄰾􄰽􄰼	
䑠		
䑣	􄱃􄱄	
䑤	𦨽	
䑥	䑪	
䑦	𦨓𦨛𦩷	
䑫	䑫	
䑬	𦩄𦩹艞	
䑯		
䑰	􄱎	
䑱	𦨨􄱐􄱏	
䑳	􄱓	
䑴	𦨘𦪆	
䑶	􄱒􄱑	
䑻	󽡩	
䑼	𦩙􄱛	
䑿	𦪥𦪓𦪺𦪲􄱜􄱝	
䒀	䑧䑰􄱡	
䒁	󽢒	
䒄	䒇	
䒅		
䒆	󽢚	
䒈		
䒉		
䒊	𦫦𦫬	
䒋		
䒌	𦫭󽢹􄱶	
䒍	𦫣󽢳	
䒎	􄱸􄱺􄱹󿛋	
䒏	􄱷	
䒐	􄱽	
䒓	𦫼	
䒕		
䒖		
䒚		
䒛		
䒜		
䒞		
䒟		
䒡		
䒢	𦭎𦯒	
䒤	󽩯	
䒥		
䒦	𦭢	
䒧	󽩳	
䒨		
䒩	萂	
䒪		
䒫		
䒰		
䒲		
䒴		
䒵		
䒷	𤫵𦧔𦸈	
䒸	𦶯󽪂	
䒹		
䒻		
䒼	筁𦮒𧀍􄲊󽪹󽪿	
䓂		
䓃		
䓄	𦱄	
䓆		
䓇		
䓈		
䓉	𦳃	
䓊	茣茣𦸭𦹊􄲓􄲒	
䓋		
䓌		
䓎		
䓐		
䓓		
䓘	􄲵	
䓙	𦴂	
䓚		
䓛	𥮝	
䓜	𥁼𦽘󼯳􄲥	
䓝		
䓞	􄲦	
䓟		
䓠	𦵺􄲳	
䓡		
䓢		
䓣	𬜯􄀂	
䓤		
䓥		
䓧	􄲭􄲬	
䓭	􄲴	
䓮	􄲽	
䓯	𦺇􄲾􄲿	
䓱	􅥯	
䓲	𦲮	
䓳		
䓴		
䓵		
䓶		
䓸		
䓼	𦳨	
䓽	􄳎􄳏	
䓾		
䔀	𦵭	
䔁	􄳑	
䔂	𦬷𦭄	
䔃		
䔄	𦾾􄳚󳉕􄳛􄳜󴮖	
䔅		
䔇		
䔈		
䔉		
䔊		
䔌	𦺆󰪶	
䔎		
䔏	󿐖	
䔐	􄳠	
䔑	𦳃􄳨􄳧	
䔓		
䔔		
䔕	𰯡􁖥	
䔗	󷱗	
䔘	𧃘𮓖󳌧􄳪󳑎	
䔙		
䔚	􄳥	
䔝		
䔞		
䔟		
䔠		
䔡	䓊	
䔣	䔧	
䔤		
䔪	𦹬􄳤󳌑󺞩	
䔬	􄳻	
䔭	􄳱􄳰	
䔮	󻴕	
䔯	𧃗𨡱􄳴􄳵􄳶	
䔱		
䔲		
䔳		
䔴	𦿎	
䔶	𦻀𧀖	
䔷	𧂖	
䔸	𦼐	
䔹	𧁂	
䔺	𦳉𧁼𧃚𧄙𧅢󳐖	
䔻	𦼿􄳮	
䔼		
䔽	􄳭	
䔾	􄳷􄳸	
䔿	􄳯	
䕀	𦽣􄳳	
䕁		
䕅	𦺋􄴣󳍏	
䕆	𦸄󳋂󳌇󳍟􄴗	
䕇	􄴉	
䕈	𦺯𦼶􄴡􄴟􄴠	
䕉		
䕊	􄴆􄴅􄴇	
䕋	􄴓	
䕍	𧃥􄴈	
䕎		
䕒		
䕓	􄴤􄴥	
䕔		
䕗		
䕙	𦿐	
䕛	𦽤	
䕞	𦺫	
䕟	􄴿	
䕡	䕡	
䕢		
䕦	萾󺨬	
䕧		
䕩	𧀪𧃉𧃬	
䕪		
䕭		
䕰		
䕱		
䕳	𦰴𦱨􄵑	
䕵	𧀺􄵒	
䕸	𥟠稭𦷓𧅡􄵞􄵝	
䕻	𧅳􄵧􄵨􄵩	
䕼	𧅻𧆖􄵪󳑼􄵫	
䕽	薥	
䕾		
䕿	𧆚𧆖	
䖁		
䖂	𧄶虊	
䖃		
䖆	𧅼􄶃􄶄	
䖇	􄶆􄶇􄶅	
䖉		
䖊	䖌𧆤𧆦􄶉󲨖	
䖌		
䖎		
䖐	󻳮	
䖑	甝𧆽𧇅𧇻󰦛	
䖒	𧆲	
䖓	􄶒	
䖔	􄶐􄶑	
䖗	𧇱麙󽓙	
䖘	𧇢𧈒􄶚􄶙􄶛	􄶜
䖙	𠥸􄶦􄶥􄶤􄶧	
䖚	󽓠	
䖛	󽓟󽓡	
䖜	󿖞	
䖞		
䖡		
䖢		
䖦	𧌑𪓭􄶮	
䖧	𤷈	
䖨		
䖩		
䖪		
䖭	𧍨	
䖯		
䖰		
䖱	󽔌󽔝	
䖲		
䖳	𩶱	
䖴		
䖵	堒䐊蜫󽕚􄶵	
䖶	䝅鼿	
䖷		
䖺	𧌁􄶹􄶺	
䖻	䗜􃮉	
䖿	蟍𧑇	
䗀		
䗁	󽕬	
䗂	𧌭􄶼	
䗃	𧔢	
䗄		
䗅	𧐊	
䗆		
䗇		
䗉		
䗌		
䗎		
䗐		
䗒	󽕍􄶾	
䗔	󽕩􄷅	
䗗	䗗	
䗘		
䗚		
䗛	􄷐	
䗜	𧏓􄷒􄷑󽖪	
䗟		
䗠	蜁𧐗	
䗡		
䗣		
䗥	𧐱	
䗧		
䗨		
䗩	𧐶	
䗮		
䗯	𧎽	
䗰		
䗱		
䗲	􄷙	
䗴		
䗵		
䗷	𧔁𧕢􄷢	
䗸	𧖇	
䗺		
䗼	􄷫	
䗽		
䘄		
䘋	䘂	
䘎	􄸋	
䘓	𧖾𧗀𧗐𧗛𧗜􄸏􄸎󰨞	
䘕		
䘖		
䘗		
䘘		
䘝		
䘟	𧘨	
䘡		
䘢		
䘣	𧙁	
䘤	􄸟	
䘥		
䘦		
䘨		
䘪	􄸠	
䘬		
䘭		
䘯		
䘰		
䘳	𧛛襟	
䘴		
䘵	􄸧	
䘶	𧚼𧜄􅣘	
䘷		
䘹		
䘻	󺶪	
䘼	􄸣	
䘽	􄸥􄸤	
䘾		
䘿	袦	
䙁		
䙃	𧝍	
䙄	𧚎𧛳􄸫	
䙅	䌁	
䙆	􄊰􄸪	
䙇	􅥁	
䙈	󽈑󽈌	
䙎	𮈔𦃝𧜋􄸮󰫳	
䙏	􅤠	
䙒		
䙔	𧞨	
䙕	𧛝	
䙘	𧞰䙯	
䙙	𧛺𧞘𧞽󺩁	􄸲
䙜		
䙞	􄸸	
䙟	𧝖𧝕􄸼󲐛	
䙠		
䙡	䙌𧝷	
䙢	􄸷	
䙣	𧞁	
䙤		
䙦	𧜩􄹎	
䙨		
䙩	􄹐􄹏	
䙬	􄹚	
䙱	𧜭襩	
䙲	𦦉𦦒𠨧𦧂𧟨䙴󶙞􄹝󿻷	
䙵	􄹟	
䙹	𧠻	
䙼		
䙽		
䙾	𧠉𧠜𧠡	
䙿		
䚀	䏹	
䚂		
䚄	􄹦􄹧	
䚅	𧡛󰭍􁮴󰭎󰭏	
䚆	􄹨	
䚇		
䚈		
䚉	𧡘	
䚊		
䚋	𧡡󾀫	
䚌	𧢌󾁀	
䚍	𧢔	
䚏		
䚐	𧡐	
䚒	􄹭	
䚔	𧢘	
䚕	𥉆𥊂𥊨𥌿矖𧢮󸥍􄹴􄹶􄹸􄹳􄹲􄹷􄹵󼩮󾁤	
䚗	𧢸	
䚘	𧢴𧤚	
䚙	𧣰	
䚚		
䚛		
䚜	𧤃	
䚝	󾉪	
䚞	䚟	
䚠		
䚡		
䚢	𧤇𧤈󾊃	
䚣	𧤘	
䚦	𧤧𧤫􄹿󾊖	
䚧	𧥂􅣙􅣚	
䚨	𧢿𧣘𧤔􄺁󾉫􄺂􄺀	
