正字	異体字	附録字
㸶	𤚕	
㸸	𤘘𤘽𤛐	
㸹		
㸺		
㸻	􄛸􄛷	
㹁	𤙝𤚒	
㹂	􄛺􄛹	
㹃	𤘿	
㹄	𤚠	
㹆		
㹇		
㹉		
㹊	𤙿𤛹𤜅󰢟􄛼	
㹋		
㹌	􄜂	
㹍	𤠻	
㹎	𤛡𤜖	
㹏	󻫱	
㹐		
㹑		
㹒		
㹓	􄜊	
㹔	𤚖	
㹕	𤛰	
㹗	𤛒𤛴	
㹘		
㹙	㹚􄜌	
㹛	𤛾𤛽􄜓󻬔􄜒	
㹜	犾􄜙	
㹝	𤝬􄜘	
㹟	󺮞	
㹣		
㹥		
㹦	󿊣􁶈	
㹫	󶐌	
㹱	猎	
㹲		
㹳	𤝲􄜝􄜞	
㹴		
㹵		
㹶	𤠜	
㹹	􄜟	
㹺	𭸗𤠡𦧟	
㹼		
㹽	􄜡	
