親字	旧字	異体字
盍		盇
盎		㼜
盗	盜	
盛	盛	
盞		醆
盱		𥅚𥃳
相		𥄢
県	縣	
真	眞	
眥		眦
眼		𥆢
睥		睤
睨		𥆩
睹		覩
瞍		𥈟
瞏		睘
瞞		𥈞
瞠		瞪
瞯		𥊺
瞰		矙
瞼		𥇥
矚		瞩
矛		𨥨𢦧
矢		笶
矧		矤
矩		榘
矰		𢎒
砒		磇
研	硏	
砕	碎	
砧		碪
砰		硑
砲		礮
确		埆
碇		矴
碊		𥒎
碑	碑	
碕		𥔎
碗		盌
碩		碵
碯		瑙
確		碻
碾		𥑊
磁	𥔵	
磨		䃺
磽		墝
礦		砿
礪		砺
礼	禮	礼
社	社	
祀		禩
祈	祈	
祉	祉	
祐	祐	
祓		𥘬
祖	祖	
祝	祝	
神	神	
祥	祥	
票		𤐫
禄	祿	
禅	禪	
禍	禍	旤
禎	禎	
福	福	
禰		祢
禱		祷
秋		𪛁龝穐秌
秒		䅺
秕		粃
秘	祕	
秣		䬴
秭		𥝱
称	稱	穪
稈		秆
税	稅	
稚		穉稺
稟		禀
稲	稻	
稷		禝
稽		𥡴
稿		藳稾藁
穀	穀	糓
穂	穗	
穎		頴
穏	穩	
穣	穰	
穽		阱
突	突	
窃	竊	
窓		牕䆫窻窗
窪		漥
窮		竆
窯		窑窰
窺		闚
窿		㝫
竄		𮄒
竈		灶䆴𥧄竃
竜	龍	
竪		豎
端		耑
競		竸
竽		𥫡
笱		𦊒
筆		笔
筇		笻
筋		觔荕
筍		笋
筏		栰
筐		筺
筒		筩
筓		笄
策		萗
箋		䇳㮍牋
箏		筝
算		祘
箘		箟
箚		劄
節	節	
築		𥱋簗
篙		㰏
篝		𥵡
篠		筿筱
篡		簒
篤		䔍
篦		箆
篩		籭
篪		䶵箎
簋		𣪘
簏		箓
簞		箪
簠		㝬
簡	𥳑	
籅		𥫣
籌		筹
籐		籘
籒		籀
籔		䉤
籠		篭
籤		籖
籰		篗
粋	粹	
粘		黏
粛	肅	
粳		秔稉
