親字	旧字	異体字
槙	槇	
槧		
槨		
槭		
槲		
槻		
槽		
槿		
樅		
樊		
樋		
樒		櫁
樔		
樗		
標		
樛		
樟		
模		
権	權	
横	橫	
樫		
樵		
樸		
樹		
樺		
樽		
橄		
橇		
橈		
橋		
橘		
橙		
機		
橡		
橦		
橿		
檀		
檄		
檋		
檎		
檐		
檔		
檗		蘗
檜		桧
檠		
檣		
檬		
檮		梼
檳		
檸		
檻		
櫂		
櫃		
櫓		
櫚		
櫛		
櫟		檪
櫨		
櫪		
櫱		蘖
櫺		
欄	欄	
欅		
欒		
欖		
欠	缺	欠
次		
欣		
欧	歐	
欲		
欷		
欸		
欹		
欺		
欽		
款		
歃		
歇		
歉		
歌		謌
歎		
歓	歡	
歔		
歙		
歛		
歟		
歠		
止		
正		
此		
武		
歩	步	
歪		
歯	齒	
歳		
歴	歷	
死		
歿		
殀		
殃		
殄		
殆		
殉		
殊		
残	殘	
殍		
殖		
殞		
殤		
殪		
殫		
殯		
殲		殱
殴	毆	
段		
殷		
殺	殺	
殻	殼	
殿		
毀		
毅		
毋		
母		
毎	每	
毒		
比		
毘		
毛		
毟		
毫		
毬		
毯		
毳		
氈		
氏		
民		
氓		
気	氣	
氛		
水		
氷		
永		
氾		
汀		
汁		
求		
汎		
汐		
汕		
汗		
汚		
汝		
汞		
江		
池		
汨		
汪		
汰		
汲		
決		
汽		
沁		
沂		
沃		
沈		
沌		
沍		
沐		
沓		
沖		
沙		
沚		
沛		
没	沒	
沢	澤	
沫		
沮		
沱		
河		
沸		
油		
治		
沼		
沽		
沾		
沿		
況		
泄		
泅		
泉		
泊		
泌		
泓		
法		
泗		
泛		
泝		
泡		
波		
泣		
泥		
注		
泪		
泯		
泰		
泳		
洋		
洌		
洒		
洗		
洛		
洞		
洟		
津		
洩		
洪		
洫		
洲		
洵		
洶		
洸		
活		
洽		
派		
流		
浄	淨	
浅	淺	
浙		
浚		
浜	濱	
浣		
浦		
浩		
浪		
浬		
浮		
浴		
海	海	
浸		
浹		
涅		
消		
涌		
涎		
涓		
涕		
涙	淚	
涯		
液		
涵		
涸		
涼		
淀		
淅		
淆		
淋		
淌		
淑		
淒		
淘		
淙		
淡		
淤		
淪		
淫		
淬		
深		
淳		
淵		渕
混		
淹		
添		
清	淸	
渇	渴	
済	濟	
渉	涉	
渋	澁	
渓	溪	
渙		
渚	渚	
減		
渝		
渟		
渠		
渡		
渣		
渥		
渦		
温	溫	
渫		
測		
渭		
港		
游		
渺		
渾		
湃		
湊		
湍		
湎		
湖		
湘		
湛		
湧		
湫		
湮		
湯		
湲		
湾	灣	
湿	濕	
満	滿	
溂		
溏		
源		
準		
溘		
溜		
溝		
溟		
溢		
溥		
溲		
溶		
溷		
溺		
溽		
滂		
滄		
滅		
滉		
滋		
滌		
滑		
滓		
滔		
滕		
滝	瀧	
滞	滯	
滬		
滲		
滴		
滷		
滸		
滾		
漁		
漂		
漆		
漉		
漏		
漑		
漓		
演		
漕		
漠		
漢	漢	
漣		
漫		
漬		
漱		
漲		
漸		
漾		
漿		
潑		溌
潔		
潘		
潜	潛	
潟		
潤		
潦		
潭		
潮		
潯		
潰		
潸		
潺		
澄		澂
澆		
澎		
澗		㵎
澡		
澣		
澪		
澱		
澳		
澹		
激		
濁		
濃		
濔		
濘		
濛		
濠		
濡		
濤		涛
濫		
濬		
濯		
濺		
濾		沪
瀁		
瀆		涜
瀉		
瀋		
瀏		
瀑		
瀕		
瀚		
瀛		
瀝		
瀞		瀞
瀟		
瀦		潴
瀬	瀨	
瀰		
瀲		
瀾		
灌		潅
灑		
灘		
火		
灯	燈	
灰		
灸		
灼		
災		
炉	爐	
炊		
炎		
炒		
炙		
炬		
炭		
炮		
炯		烱
炳		
炷		
炸		
点	點	
為	爲	
烈		
烋		
烏		
烙		
烝		
烹		
烽		
焉		
焙		
焚		
焜		
焠		
無		
焦		
焰		焔
然		
焼	燒	
煉		
煌		
煎		
煖		
煙		烟
煢		
煤		
煥		
煦		
照		
煩		
煬		
煮	煮	
煽		
熄		
熊		
熔		鎔
熕		
熙		熈煕
熟		
熨		
熬		
熱		
熹		
熾		
燃		
燉		
燎		
燐		
燔		
燕		
燗		
燠		
燥		
燦		
燧		
燬		
燭		
燮		
燵		
燹		
燻		熏
燼		
燿		
爆		
爍		
爛		
爨		
爪		
爬		
爰		
爵	爵	
父		
爺		
爽		
爾		
牀		
牆		墻
片		
版		
牋		
牌		
牒		
牖		
牘		
牙		
牛		
牝		
牟		
牡		
牢		
牧		
物		
牲		
牴		
特		
牽		
牾		
犀		
犂		犁
犇		
犒		
犖		
犠	犧	
犢		
犬		
犯		
犲		
状	狀	
狂		
狃		
狄		
狆		
狎		
狐		
狒		
狗		
狙		
狛		
狠		
狡		
狢		
狩		
独	獨	
狭	狹	
狷		
狸		
狼		
狽		
猊		
猋		
猖		
猗		
猛		
猜		
猝		
猟	獵	
猥		
猩		
猪	猪	
猫		
献	獻	
猯		
猴		
猶		
猷		
猾		
猿		
獄		
獅		
獏		
獗		
獣	獸	
獪		
獮		
獰		
獲		
獺		
玄		
率		
玉		
王		
玖		
玩		
玫		
玲		
玻		
珀		
珂		
珈		
珊		
珍		
珞		
珠		
珥		
珪		
班		
珮		
現		
球		
琅		瑯
理		
琉		
琢	琢	
琥		
琲		
琳		
琴		
琵		
琶		
琺		
瑁		
瑇		瑇玳
瑕		
瑙		
瑚		
瑛		
瑜		
瑞		
瑟		
瑠		璢
瑣		
瑩		
瑪		
瑰		
瑳		
瑶	瑤	
瑾		
璃		
璇		
璋		
璞		
璧		
環		
璽		
瓊		
瓏		
瓔		
瓜		
瓠		
瓢		
瓣		
瓦		
瓧		
瓩		
瓮		
瓰		
瓱		
瓲		
瓶	甁	
瓷		
瓸		
甃		
甄		
甅		
甌		
甍		
甎		
甑		
甓		
甕		
甘		
甚		
甜		
生		
産	產	
甥		
甦		
用		
甫		
田		
由		
甲		
申		
男		
甸		
