重複	親字	旧字	本字	古字	別体	俗字	誤字
	票		𤐫				
	祿					禄	
	禅	禪					
	禍	禍		旤			
	福	福					
	禰					祢	
	禱					祷	
	秋		秌	龝𥤛		穐	
	秒				䅺蔈		
	秕				粃		
	秘	祕					
	秣		䬴				
	秭					𥝱	
	称	稱				穪	
	稈				秆		
	稊		蕛				
	税	稅					
	稚		稺		穉		
	稟					禀	
	稲	稻					
	稷				禝		
	稽					𥡴	
	稿		稾				
	穀	穀				糓	
	穂	穗			穟		
	穅				粇糠		
	穎					頴	
	穏	穩					
	穰					穣	
	穽		阱				
	突	突					
	窃	竊					
	窓		窗		牕窻	䆫	
	窪		漥				
	窮		竆				
	窯				窰	窑	
	窿					㝫	
	竄					𮄒	
	竈					䆴灶竃𥧄	
	竜	龍					
	競				竸		
	竽		𥫡				
	笑			关		㗛	
	笱				𦊒		
	筅				箲		
	筆				笔		
	筇					笻	
	筋				觔	荕	
	筍				笋		
	筏				栰橃		
	筐					筺	
	筑						𥬑
	筓					笄	
	策					萗	
	筧				梘		
	筮			𥰫	簭		
	箋			㮍	椾牋	䇳	
	箏					筝	
	箒				帚	菷	
	算		筭	祘			
	箘				䇹箟		
	箚				剳劄		
	箬				篛		
	箸				筯		
	節	節					
	範				笵		
	篋		匧				
	篙				㰏		
	篝				𥵡		
	篠		筱			筿	
	篡					簒	
	篤					䔍	
	篦					箆	
	篩		籭		簁		
	篪		䶵		竾	箎	
	簋				𣪘		
	簗					𥱋	
	簞					箪	
	簠				㝬		
	簡	𥳑					
	簬			簵			
	籅					𥫣	
	籌					筹	
	籏					簱	
	籐				籘		
	籒					籀	
	籔					䉤	
	籠					篭	
	籤					籖	
	籰					篗	
	粋	粹					
	粘		黏				
	粛	肅					
	粥		鬻				
	粳		秔		稉		
	粼				𥻘		
	精	精					
	糉				粽		
	糍				𩝐		
	糖	糖	餳		糛餹𥼽	𥹥	
	糧					粮	
	糯		稬		穤		
	糱					糵	
	糲		䊪				
	糴					籴	
	糶					粜	
!	糸	絲				𮈔	
	糾				糺		
	紘				綋		
	紙					帋	
	紝				絍		
	紮					紥	
	累		纍		絫縲		
	紲				絏緤		
	経	經					
	絛				縧	絛	
	絝				袴	褲	
	統					綂	
	絵	繪					
	絶	絕					
	綆				䋁		
	継	繼	㡭				
	続	續					
	綷					紣	
	綿		緜				
	総	總			摠緫	揔	
	緑	綠					
	緒	緖					
	線				綫		
	緡				緍		
	緪					絚	
	練	練					
	縁	緣					
	縄	繩					
	縉					縉	
	縕					緼	
	縦	縱					
	繁	繁	䋣				
	繈					繦	
	繊	纖				纎	
	織				𦀗		
	繖				𢄻		
	繡					綉繍	
	繫					繋	
	繭				絸	蠒	
	繰				繅		
	纁				䙧		
	纃					緕	
	纊					絋	
	纏					纒	
	纑					䋆	
	纓					䋝	
	纘					纉	
	纛				𢃶		
	纜					䌫	
!	缶	罐			缻	𦈢	
	缸					瓨	
	罃				甇		
	罌				甖		
	罍		櫑				
	罡					𦊆	
	罩				䈇		
	罪		辠				
	罰					罸	
	署	署					
	羇					覉	
	羈					覊	
	羌					羗	
	羑		羐				
	羕		𦍛			𣴎	
	群		羣				
	羲						𦏁
	羶		羴				
	羹		𩱧			羮	
	羽	羽					
	翠					翆	
	翬				𦑩		
	翺		翱				
	翻				飜		
	翼				𦐂		
	者	者					
	耇				耈		
	耋				耊		
	耔		秄				
	耕				畊		
	耗		秏				
	耙					䎱	
	耜		㭒				
	耨		槈		鎒		
	耰		櫌				
	耼					聃	
	耽					躭	
	聞			𥹢			
	聯					聨	
	聰					聡聦	
	聴	聽					
	職					軄	
	肇		肈				
	肉						宍
	肢		胑				
	肯		肎				
	肱		厷				
	育			毓			
	肴				餚		
	胄				伷		
!	胆	膽					
